C9608532153343, Mohammad, mohammad739@outlook.com, 10, 1, Jerusalem, Unemployed family
C7075370250158, Fadi, fadi628@yahoo.com, 10, 1, East Jerusalem, Low income family
C7754907583279, Laila, laila214@outlook.com, 10, 1, East Jerusalem, Lost job due to crisis
C1321895565692, Mohammad, mohammad122@hotmail.com, 10, 1, East Jerusalem, Elderly family member
C4865011158825, Hassan, hassan920@gmail.com, 10, 1, East Jerusalem, Medical condition in family
C6461961432370, Laila, laila688@yahoo.com, 10, 1, East Jerusalem, Lost job due to crisis
C2162177264462, Yousef, yousef229@gmail.com, 10, 1, East Jerusalem, Lost job due to crisis
C1109828960552, Hassan, hassan171@gmail.com, 10, 1, East Jerusalem, Recent house fire
C8105721421172, Hassan, hassan468@hotmail.com, 10, 1, East Jerusalem, Recent house fire
C8894231367513, Sara, sara95@hotmail.com, 10, 1, East Jerusalem, Low income family
C5126444498962, Laila, laila725@hotmail.com, 10, 1, East Jerusalem, Lost job due to crisis
C7906712158550, Omar, omar679@hotmail.com, 10, 1, East Jerusalem, Child with disability
C2529571601065, Fadi, fadi99@yahoo.com, 9, 1, Jerusalem, Recent house fire
C4846319518118, Mohammad, mohammad605@gmail.com, 9, 1, Jerusalem, Widowed mother
C5793226350690, Amina, amina198@hotmail.com, 9, 1, Jerusalem, Low income family
C5759609429840, Fadi, fadi162@yahoo.com, 9, 1, Jerusalem, Lost job due to crisis
C1589819839211, Hassan, hassan542@outlook.com, 9, 1, Jerusalem, Medical condition in family
C1056977601103, Hassan, hassan952@hotmail.com, 9, 1, Jerusalem, Widowed mother
C9486519149067, Sara, sara40@hotmail.com, 9, 1, Jerusalem, Recent house fire
C4295609752265, Hassan, hassan354@hotmail.com, 9, 1, Jerusalem, Unemployed family
C5740636931231, Omar, omar26@outlook.com, 9, 1, Jerusalem, Medical condition in family
C6795061771954, Fatima, fatima628@yahoo.com, 9, 1, Jerusalem, Elderly family member
C5720010173399, Hassan, hassan40@gmail.com, 9, 1, Jerusalem, Unemployed family
C2386522043186, Yousef, yousef690@outlook.com, 9, 1, Jerusalem, Medical condition in family
C6814015557453, Khalid, khalid453@yahoo.com, 9, 1, West Jerusalem, Parent recovering from surgery
C2826943247915, Laila, laila875@outlook.com, 9, 1, West Jerusalem, Child with disability
C5235995532655, Hassan, hassan931@yahoo.com, 9, 1, West Jerusalem, Lost job due to crisis
C9401214454858, Amina, amina285@hotmail.com, 9, 1, West Jerusalem, Parent recovering from surgery
C2981073696884, Khalid, khalid470@yahoo.com, 9, 1, West Jerusalem, Lost job due to crisis
C6809507778834, Yousef, yousef737@outlook.com, 9, 1, West Jerusalem, Low income family
C5968745126905, Amina, amina217@yahoo.com, 9, 1, West Jerusalem, Widowed mother
C7168871655028, Amina, amina585@yahoo.com, 9, 1, West Jerusalem, Single parent household
C4359021314638, Ahmed, ahmed189@gmail.com, 9, 1, West Jerusalem, Recent house fire
C1367046294391, Mohammad, mohammad501@hotmail.com, 9, 1, West Jerusalem, Recent house fire
C6959533152727, Mohammad, mohammad306@yahoo.com, 9, 1, East Jerusalem, Low income family
C6999603116559, Sara, sara165@hotmail.com, 9, 1, East Jerusalem, Unemployed family
C1050427195741, Khalid, khalid203@gmail.com, 9, 1, East Jerusalem, Single parent household
C6724426019394, Omar, omar340@hotmail.com, 9, 1, East Jerusalem, Lost job due to crisis
C8161884643960, Amina, amina552@yahoo.com, 9, 1, East Jerusalem, Single parent household
C9399716485252, Amina, amina183@gmail.com, 9, 1, East Jerusalem, Widowed mother
C6700988099035, Mohammad, mohammad114@outlook.com, 9, 1, East Jerusalem, Lost job due to crisis
C3595373840363, Yousef, yousef207@yahoo.com, 9, 1, East Jerusalem, Single parent household
C1768400314309, Amina, amina183@gmail.com, 8, 1, Jerusalem, Medical condition in family
C7483647226928, Mohammad, mohammad256@gmail.com, 8, 1, Jerusalem, Recent house fire
C5801500252432, Laila, laila5@yahoo.com, 8, 1, Jerusalem, Widowed mother
C3886172118476, Omar, omar259@outlook.com, 8, 1, Jerusalem, Unemployed family
C4009485006885, Omar, omar156@gmail.com, 8, 1, Jerusalem, Elderly family member
C6130340109464, Laila, laila346@outlook.com, 8, 1, Jerusalem, Parent recovering from surgery
C8900671550888, Amina, amina395@gmail.com, 8, 1, Jerusalem, Elderly family member
C9514345895001, Laila, laila790@gmail.com, 8, 1, West Jerusalem, Single parent household
C8165716486129, Hassan, hassan297@outlook.com, 8, 1, West Jerusalem, Elderly family member
C2201237150488, Mohammad, mohammad172@gmail.com, 8, 1, West Jerusalem, Lost job due to crisis
C5703972135359, Fadi, fadi29@hotmail.com, 8, 1, West Jerusalem, Unemployed family
C4167522622662, Fadi, fadi939@yahoo.com, 8, 1, West Jerusalem, Widowed mother
C3958458941805, Laila, laila966@outlook.com, 8, 1, West Jerusalem, Low income family
C7005396076403, Ahmed, ahmed742@hotmail.com, 8, 1, West Jerusalem, Lost job due to crisis
C4404689455992, Hassan, hassan992@gmail.com, 8, 1, West Jerusalem, Unemployed family
C3546623841526, Amina, amina779@outlook.com, 8, 1, West Jerusalem, Child with disability
C8498373788815, Fatima, fatima35@gmail.com, 8, 1, East Jerusalem, Medical condition in family
C1810474748673, Hassan, hassan945@hotmail.com, 8, 1, East Jerusalem, Medical condition in family
C3403087144217, Hassan, hassan184@yahoo.com, 8, 1, East Jerusalem, Low income family
C6401373958138, Mohammad, mohammad619@yahoo.com, 8, 1, East Jerusalem, Widowed mother
C9516747542247, Yousef, yousef20@gmail.com, 8, 1, East Jerusalem, Low income family
C4837459908548, Khalid, khalid809@gmail.com, 8, 1, East Jerusalem, Single parent household
C6381915007740, Fadi, fadi828@hotmail.com, 8, 1, East Jerusalem, Medical condition in family
C8642690285964, Yousef, yousef946@hotmail.com, 8, 1, East Jerusalem, Elderly family member
C5825515686954, Yousef, yousef869@hotmail.com, 8, 1, East Jerusalem, Single parent household
C7443874813847, Sara, sara498@outlook.com, 7, 1, Jerusalem, Recent house fire
C4745824584063, Laila, laila138@yahoo.com, 7, 1, Jerusalem, Medical condition in family
C5438168894755, Ahmed, ahmed626@gmail.com, 7, 1, Jerusalem, Child with disability
C3790792249477, Fadi, fadi968@outlook.com, 7, 1, Jerusalem, Unemployed family
C8298690857521, Hassan, hassan98@hotmail.com, 7, 1, Jerusalem, Single parent household
C8141917199520, Fatima, fatima178@yahoo.com, 7, 1, Jerusalem, Lost job due to crisis
C8013481445824, Sara, sara677@yahoo.com, 7, 1, Jerusalem, Low income family
C2359727259161, Yousef, yousef132@hotmail.com, 7, 1, Jerusalem, Lost job due to crisis
C2701101532124, Laila, laila712@outlook.com, 7, 1, Jerusalem, Parent recovering from surgery
C8698046058041, Fatima, fatima521@gmail.com, 7, 1, West Jerusalem, Medical condition in family
C1623139398142, Fatima, fatima956@hotmail.com, 7, 1, West Jerusalem, Widowed mother
C7157985776425, Amina, amina170@hotmail.com, 7, 1, West Jerusalem, Parent recovering from surgery
C7281791752787, Ahmed, ahmed183@hotmail.com, 7, 1, West Jerusalem, Recent house fire
C9220873931722, Omar, omar155@hotmail.com, 7, 1, West Jerusalem, Child with disability
C9895820545026, Fatima, fatima278@gmail.com, 7, 1, West Jerusalem, Low income family
C6898628257851, Mohammad, mohammad844@outlook.com, 7, 1, West Jerusalem, Low income family
C2650489765268, Khalid, khalid786@hotmail.com, 7, 1, West Jerusalem, Unemployed family
C9094367436929, Laila, laila689@gmail.com, 7, 1, West Jerusalem, Elderly family member
C9762490629444, Amina, amina652@gmail.com, 7, 1, West Jerusalem, Parent recovering from surgery
C6482010507437, Omar, omar8@yahoo.com, 7, 1, West Jerusalem, Medical condition in family
C4337013636876, Fadi, fadi946@outlook.com, 7, 1, West Jerusalem, Parent recovering from surgery
C4238488486683, Yousef, yousef307@yahoo.com, 7, 1, West Jerusalem, Elderly family member
C6534779676632, Amina, amina227@outlook.com, 7, 1, East Jerusalem, Parent recovering from surgery
C5014329610201, Laila, laila978@hotmail.com, 7, 1, East Jerusalem, Unemployed family
C6778158883374, Mohammad, mohammad831@yahoo.com, 7, 1, East Jerusalem, Unemployed family
C9967519414192, Amina, amina60@gmail.com, 7, 1, East Jerusalem, Single parent household
C1660769095202, Fatima, fatima402@yahoo.com, 7, 1, East Jerusalem, Low income family
C3108289644065, Laila, laila841@yahoo.com, 7, 1, East Jerusalem, Unemployed family
C5046092488803, Hassan, hassan252@outlook.com, 7, 1, East Jerusalem, Widowed mother
C1140026123953, Laila, laila688@hotmail.com, 7, 1, East Jerusalem, Parent recovering from surgery
C4998966306519, Khalid, khalid376@outlook.com, 7, 1, East Jerusalem, Elderly family member
C8338550825029, Hassan, hassan975@gmail.com, 7, 1, East Jerusalem, Elderly family member
C1781385822676, Fadi, fadi455@gmail.com, 6, 1, Jerusalem, Widowed mother
C9137293082833, Fadi, fadi811@outlook.com, 6, 1, Jerusalem, Child with disability
C3440629374587, Sara, sara32@gmail.com, 6, 1, Jerusalem, Widowed mother
C7043188270938, Amina, amina129@gmail.com, 6, 1, Jerusalem, Medical condition in family
C1647877058004, Laila, laila718@gmail.com, 6, 1, Jerusalem, Widowed mother
C3346149261552, Omar, omar735@gmail.com, 6, 1, Jerusalem, Widowed mother
C2907073319109, Fadi, fadi803@hotmail.com, 6, 1, Jerusalem, Child with disability
C2928913682172, Amina, amina347@yahoo.com, 6, 1, West Jerusalem, Low income family
C5542760003503, Ahmed, ahmed426@hotmail.com, 6, 1, West Jerusalem, Elderly family member
C9404426837146, Omar, omar228@hotmail.com, 6, 1, West Jerusalem, Lost job due to crisis
C9199842752308, Yousef, yousef987@hotmail.com, 6, 1, West Jerusalem, Low income family
C6190631808245, Ahmed, ahmed977@outlook.com, 6, 1, West Jerusalem, Widowed mother
C1563692536387, Laila, laila648@yahoo.com, 6, 1, West Jerusalem, Medical condition in family
C8480276904122, Mohammad, mohammad998@gmail.com, 6, 1, West Jerusalem, Low income family
C9475951431148, Hassan, hassan979@yahoo.com, 6, 1, West Jerusalem, Lost job due to crisis
C9922761111944, Ahmed, ahmed908@gmail.com, 6, 1, West Jerusalem, Medical condition in family
C4817795117399, Fatima, fatima983@gmail.com, 6, 1, West Jerusalem, Recent house fire
C3941233857933, Yousef, yousef99@hotmail.com, 6, 1, West Jerusalem, Child with disability
C2142660843917, Fatima, fatima285@yahoo.com, 6, 1, West Jerusalem, Lost job due to crisis
C6118235515630, Laila, laila742@hotmail.com, 6, 1, West Jerusalem, Parent recovering from surgery
C9686676782674, Omar, omar991@hotmail.com, 6, 1, West Jerusalem, Child with disability
C5442559353652, Yousef, yousef400@outlook.com, 6, 1, West Jerusalem, Unemployed family
C6205587353163, Fadi, fadi189@hotmail.com, 6, 1, West Jerusalem, Widowed mother
C1934670619964, Hassan, hassan478@outlook.com, 6, 1, East Jerusalem, Single parent household
C3721654364756, Sara, sara69@outlook.com, 6, 1, East Jerusalem, Unemployed family
C6213437673965, Yousef, yousef179@yahoo.com, 6, 1, East Jerusalem, Unemployed family
C4551334753503, Ahmed, ahmed446@hotmail.com, 6, 1, East Jerusalem, Elderly family member
C8529679891415, Fatima, fatima666@outlook.com, 6, 1, East Jerusalem, Single parent household
C4581711945024, Fatima, fatima743@yahoo.com, 6, 1, East Jerusalem, Recent house fire
C8792663348292, Amina, amina96@gmail.com, 6, 1, East Jerusalem, Recent house fire
C4710880663250, Fadi, fadi159@gmail.com, 6, 1, East Jerusalem, Unemployed family
C6588800731726, Hassan, hassan235@outlook.com, 6, 1, East Jerusalem, Low income family
C7101675910884, Fatima, fatima670@outlook.com, 5, 1, Jerusalem, Low income family
C1859644361856, Yousef, yousef965@outlook.com, 5, 1, Jerusalem, Child with disability
C6470086374041, Mohammad, mohammad976@outlook.com, 5, 1, Jerusalem, Medical condition in family
C1935682883088, Omar, omar986@hotmail.com, 5, 1, Jerusalem, Parent recovering from surgery
C2372132060006, Hassan, hassan508@outlook.com, 5, 1, Jerusalem, Child with disability
C9470075895963, Hassan, hassan709@hotmail.com, 5, 1, Jerusalem, Elderly family member
C8810783429470, Sara, sara827@yahoo.com, 5, 1, Jerusalem, Widowed mother
C8491500429242, Omar, omar630@gmail.com, 5, 1, West Jerusalem, Low income family
C3604730237946, Fadi, fadi428@outlook.com, 5, 1, West Jerusalem, Widowed mother
C5822494725116, Sara, sara861@gmail.com, 5, 1, West Jerusalem, Recent house fire
C5304045572038, Yousef, yousef650@hotmail.com, 5, 1, West Jerusalem, Medical condition in family
C1356756779403, Fadi, fadi636@hotmail.com, 5, 1, West Jerusalem, Elderly family member
C5549033527920, Ahmed, ahmed355@yahoo.com, 5, 1, West Jerusalem, Elderly family member
C3061352681491, Mohammad, mohammad823@gmail.com, 5, 1, West Jerusalem, Recent house fire
C1827776408729, Omar, omar926@hotmail.com, 5, 1, West Jerusalem, Unemployed family
C3408847623591, Hassan, hassan933@hotmail.com, 5, 1, West Jerusalem, Lost job due to crisis
C6282704340625, Hassan, hassan549@gmail.com, 5, 1, West Jerusalem, Parent recovering from surgery
C2922057441564, Hassan, hassan726@outlook.com, 5, 1, East Jerusalem, Recent house fire
C7485319276670, Mohammad, mohammad346@hotmail.com, 5, 1, East Jerusalem, Widowed mother
C1729073998621, Amina, amina953@gmail.com, 5, 1, East Jerusalem, Parent recovering from surgery
C6760095263851, Yousef, yousef13@yahoo.com, 5, 1, East Jerusalem, Lost job due to crisis
C9251883588823, Ahmed, ahmed602@outlook.com, 5, 1, East Jerusalem, Child with disability
C3635060441173, Khalid, khalid536@gmail.com, 5, 1, East Jerusalem, Elderly family member
C8352001505877, Hassan, hassan12@outlook.com, 4, 1, Jerusalem, Child with disability
C5805165266428, Mohammad, mohammad888@hotmail.com, 4, 1, Jerusalem, Single parent household
C8804045345493, Omar, omar258@hotmail.com, 4, 1, Jerusalem, Widowed mother
C8228480956535, Hassan, hassan61@hotmail.com, 4, 1, Jerusalem, Child with disability
C8090367524850, Fatima, fatima421@gmail.com, 4, 1, Jerusalem, Parent recovering from surgery
C2576185942612, Fadi, fadi366@yahoo.com, 4, 1, Jerusalem, Unemployed family
C9997210034281, Fadi, fadi407@hotmail.com, 4, 1, Jerusalem, Lost job due to crisis
C4610855666949, Fadi, fadi991@hotmail.com, 4, 1, Jerusalem, Parent recovering from surgery
C7434764506174, Fatima, fatima88@outlook.com, 4, 1, Jerusalem, Single parent household
C6235594960300, Ahmed, ahmed930@gmail.com, 4, 1, Jerusalem, Parent recovering from surgery
C9269300720910, Amina, amina305@outlook.com, 4, 1, Jerusalem, Parent recovering from surgery
C1917143066327, Hassan, hassan964@outlook.com, 4, 1, Jerusalem, Widowed mother
C1966383697729, Yousef, yousef230@hotmail.com, 4, 1, Jerusalem, Low income family
C5699707900378, Omar, omar124@yahoo.com, 4, 1, Jerusalem, Recent house fire
C9459331799261, Mohammad, mohammad513@outlook.com, 4, 1, Jerusalem, Parent recovering from surgery
C5001359027849, Fadi, fadi870@yahoo.com, 4, 1, Jerusalem, Recent house fire
C8757433526517, Hassan, hassan496@yahoo.com, 4, 1, Jerusalem, Single parent household
C1440410057250, Khalid, khalid248@outlook.com, 4, 1, Jerusalem, Child with disability
C3215109268149, Amina, amina28@hotmail.com, 4, 1, Jerusalem, Lost job due to crisis
C4257079846053, Sara, sara19@gmail.com, 4, 1, West Jerusalem, Lost job due to crisis
C6693122037259, Amina, amina455@gmail.com, 4, 1, West Jerusalem, Lost job due to crisis
C7952449441307, Laila, laila156@outlook.com, 4, 1, West Jerusalem, Child with disability
C8729382735852, Ahmed, ahmed932@gmail.com, 4, 1, West Jerusalem, Lost job due to crisis
C3906765000960, Mohammad, mohammad705@outlook.com, 4, 1, West Jerusalem, Widowed mother
C6136439380689, Laila, laila480@yahoo.com, 4, 1, West Jerusalem, Medical condition in family
C5602664574038, Fatima, fatima282@hotmail.com, 4, 1, West Jerusalem, Medical condition in family
C6488830043541, Hassan, hassan377@outlook.com, 4, 1, West Jerusalem, Single parent household
C2760035846001, Fadi, fadi838@outlook.com, 4, 1, West Jerusalem, Medical condition in family
C7159831884521, Ahmed, ahmed49@gmail.com, 4, 1, West Jerusalem, Lost job due to crisis
C3180997198109, Laila, laila657@yahoo.com, 4, 1, West Jerusalem, Lost job due to crisis
C5905156903992, Sara, sara217@yahoo.com, 4, 1, West Jerusalem, Parent recovering from surgery
C3444649095614, Khalid, khalid23@yahoo.com, 4, 1, East Jerusalem, Elderly family member
C9261868668561, Omar, omar663@outlook.com, 4, 1, East Jerusalem, Widowed mother
C1749836682880, jinan, jinan123@gmail.com, 4, 1, East Jerusalem,
C7794307499049, Amina, amina220@outlook.com, 4, 1, East Jerusalem, Lost job due to crisis
C7313724440427, Khalid, khalid373@gmail.com, 4, 1, East Jerusalem, Parent recovering from surgery
C2770392430208, Laila, laila152@outlook.com, 4, 1, East Jerusalem, Elderly family member
C3392482639227, Mohammad, mohammad236@gmail.com, 4, 1, East Jerusalem, Parent recovering from surgery
C6685896973090, Hassan, hassan368@gmail.com, 4, 1, East Jerusalem, Medical condition in family
C4459000099140, Khalid, khalid571@outlook.com, 4, 1, East Jerusalem, Recent house fire
C6494897323417, Laila, laila651@yahoo.com, 4, 1, East Jerusalem, Child with disability
C3462207468790, Khalid, khalid804@gmail.com, 4, 1, East Jerusalem, Parent recovering from surgery
C9012492481119, Fatima, fatima733@yahoo.com, 4, 1, East Jerusalem, Child with disability
C1749836619697, jinan, jinan@gmail.com, 4, 1, East Jerusalem,
C3679200266953, Hassan, hassan518@gmail.com, 4, 1, East Jerusalem, Low income family
C7910612214624, Amina, amina996@gmail.com, 4, 1, East Jerusalem, Widowed mother
C7426972071177, Fadi, fadi487@yahoo.com, 3, 1, Jerusalem, Medical condition in family
C7060432080831, Mohammad, mohammad216@yahoo.com, 3, 1, Jerusalem, Medical condition in family
C4136983045410, Sara, sara4@yahoo.com, 3, 1, Jerusalem, Widowed mother
C3691046823004, Ahmed, ahmed847@gmail.com, 3, 1, Jerusalem, Widowed mother
C4943255613933, Khalid, khalid477@outlook.com, 3, 1, Jerusalem, Lost job due to crisis
C8448208546737, Laila, laila874@gmail.com, 3, 1, Jerusalem, Parent recovering from surgery
C1683978894716, Mohammad, mohammad943@yahoo.com, 3, 1, Jerusalem, Parent recovering from surgery
C2735628835705, Mohammad, mohammad364@yahoo.com, 3, 1, Jerusalem, Single parent household
C2292859326408, Mohammad, mohammad60@yahoo.com, 3, 1, Jerusalem, Single parent household
C7769397008964, Laila, laila899@yahoo.com, 3, 1, Jerusalem, Low income family
C3127851172666, Yousef, yousef815@hotmail.com, 3, 1, Jerusalem, Parent recovering from surgery
C5801448023407, Mohammad, mohammad275@yahoo.com, 3, 1, Jerusalem, Child with disability
C2581709610214, Yousef, yousef776@gmail.com, 3, 1, Jerusalem, Recent house fire
C9018453033346, Laila, laila963@outlook.com, 3, 1, Jerusalem, Elderly family member
C2968770839543, Sara, sara578@yahoo.com, 3, 1, West Jerusalem, Low income family
C8970804445494, Laila, laila10@yahoo.com, 3, 1, West Jerusalem, Child with disability
C8571946264964, Omar, omar195@yahoo.com, 3, 1, West Jerusalem, Widowed mother
C8686711193678, Omar, omar425@outlook.com, 3, 1, West Jerusalem, Widowed mother
C2405259463164, Omar, omar450@hotmail.com, 3, 1, West Jerusalem, Unemployed family
C8713400857921, Laila, laila868@yahoo.com, 3, 1, West Jerusalem, Lost job due to crisis
C7599789447562, Mohammad, mohammad371@gmail.com, 3, 1, West Jerusalem, Recent house fire
C4244900563094, Amina, amina82@gmail.com, 3, 1, West Jerusalem, Medical condition in family
C8442851004740, Fadi, fadi495@outlook.com, 3, 1, West Jerusalem, Medical condition in family
C4877733655409, Yousef, yousef52@outlook.com, 3, 1, West Jerusalem, Recent house fire
C7451052513997, Amina, amina532@yahoo.com, 3, 1, West Jerusalem, Lost job due to crisis
C9945229430949, Khalid, khalid997@outlook.com, 3, 1, West Jerusalem, Low income family
C9905289493766, Omar, omar344@gmail.com, 3, 1, West Jerusalem, Single parent household
C2513048908952, Omar, omar714@hotmail.com, 3, 1, West Jerusalem, Widowed mother
C4736447858497, Khalid, khalid988@hotmail.com, 3, 1, West Jerusalem, Parent recovering from surgery
C7184533915105, Fadi, fadi758@gmail.com, 3, 1, East Jerusalem, Low income family
C7827172303009, Laila, laila300@yahoo.com, 3, 1, East Jerusalem, Child with disability
C6902314791471, Fatima, fatima376@outlook.com, 3, 1, East Jerusalem, Lost job due to crisis
C3812014888097, Omar, omar494@hotmail.com, 3, 1, East Jerusalem, Parent recovering from surgery
C1779984818861, Amina, amina605@outlook.com, 3, 1, East Jerusalem, Widowed mother
C2315629864361, Fadi, fadi694@outlook.com, 3, 1, East Jerusalem, Recent house fire
C3993403950121, Amina, amina630@outlook.com, 3, 1, East Jerusalem, Recent house fire
C2745020036535, Mohammad, mohammad175@gmail.com, 3, 1, East Jerusalem, Low income family
C7842371381544, Khalid, khalid981@outlook.com, 3, 1, East Jerusalem, Single parent household
C5244130513623, Yousef, yousef10@outlook.com, 3, 1, East Jerusalem, Lost job due to crisis
C6202914932784, Omar, omar74@hotmail.com, 3, 1, East Jerusalem, Low income family
C5559595404305, Omar, omar343@outlook.com, 3, 1, East Jerusalem, Lost job due to crisis
C3196885470510, Laila, laila769@outlook.com, 2, 1, Jerusalem, Recent house fire
C6137075655921, Mohammad, mohammad823@hotmail.com, 2, 1, Jerusalem, Unemployed family
C8131580641488, Omar, omar20@hotmail.com, 2, 1, Jerusalem, Medical condition in family
C1454796720760, Khalid, khalid635@gmail.com, 2, 1, Jerusalem, Unemployed family
C3819775792389, Mohammad, mohammad138@yahoo.com, 2, 1, Jerusalem, Medical condition in family
C8386438620642, Sara, sara736@yahoo.com, 2, 1, Jerusalem, Medical condition in family
C1749836545521, lana, lama@gmail.com, 2, 1, Jerusalem,
C8872786038843, Sara, sara697@hotmail.com, 2, 1, Jerusalem, Single parent household
C5746003155391, Omar, omar846@hotmail.com, 2, 1, Jerusalem, Elderly family member
C3132779249843, Yousef, yousef587@outlook.com, 2, 1, West Jerusalem, Elderly family member
C1322761712739, Fadi, fadi537@outlook.com, 2, 1, West Jerusalem, Medical condition in family
C7665779466039, Hassan, hassan144@outlook.com, 2, 1, West Jerusalem, Child with disability
C2783328051821, Khalid, khalid918@outlook.com, 2, 1, West Jerusalem, Widowed mother
C8346922099126, Omar, omar512@gmail.com, 2, 1, West Jerusalem, Lost job due to crisis
C4610014104072, Khalid, khalid219@yahoo.com, 2, 1, West Jerusalem, Parent recovering from surgery
C5601846636741, Hassan, hassan59@gmail.com, 2, 1, East Jerusalem, Lost job due to crisis
C9546968980609, Mohammad, mohammad253@gmail.com, 2, 1, East Jerusalem, Widowed mother
C4131673733272, Fatima, fatima959@hotmail.com, 2, 1, East Jerusalem, Widowed mother
C9395082517034, Sara, sara705@hotmail.com, 2, 1, East Jerusalem, Parent recovering from surgery
C5688910270511, Fatima, fatima259@outlook.com, 2, 1, East Jerusalem, Single parent household
C6571462628109, Sara, sara210@gmail.com, 2, 1, East Jerusalem, Child with disability
C3103556078178, Omar, omar267@yahoo.com, 2, 1, East Jerusalem, Widowed mother
C5755930764615, Khalid, khalid550@yahoo.com, 2, 1, East Jerusalem, Elderly family member
C1401102264653, Hassan, hassan119@outlook.com, 2, 1, East Jerusalem, Recent house fire
C2204367621350, Laila, laila645@yahoo.com, 1, 1, Jerusalem, Recent house fire
C7701952628320, Amina, amina970@yahoo.com, 1, 1, Jerusalem, Recent house fire
C1322938844064, Fatima, fatima961@yahoo.com, 1, 1, Jerusalem, Parent recovering from surgery
C2650551186891, Sara, sara169@outlook.com, 1, 1, Jerusalem, Lost job due to crisis
C3468669884614, Fadi, fadi391@hotmail.com, 1, 1, Jerusalem, Low income family
C8190251295184, Fatima, fatima441@yahoo.com, 1, 1, Jerusalem, Elderly family member
C1218170048794, Fadi, fadi741@hotmail.com, 1, 1, Jerusalem, Low income family
C6542019534584, Yousef, yousef808@outlook.com, 1, 1, Jerusalem, Single parent household
C6676653021866, Amina, amina569@gmail.com, 1, 1, Jerusalem, Child with disability
C1390049760795, Hassan, hassan67@hotmail.com, 1, 1, Jerusalem, Single parent household
C8424795762780, Hassan, hassan927@hotmail.com, 1, 1, Jerusalem, Child with disability
C4866997171815, Fadi, fadi65@outlook.com, 1, 1, Jerusalem, Single parent household
C2871902461428, Ahmed, ahmed279@gmail.com, 1, 1, Jerusalem, Parent recovering from surgery
C7349691299237, Sara, sara943@yahoo.com, 1, 1, Jerusalem, Child with disability
C7977370676852, Mohammad, mohammad992@gmail.com, 1, 1, West Jerusalem, Unemployed family
C8966292665580, Yousef, yousef255@gmail.com, 1, 1, West Jerusalem, Low income family
C7919760635776, Yousef, yousef960@gmail.com, 1, 1, West Jerusalem, Medical condition in family
C4244831379430, Ahmed, ahmed738@hotmail.com, 1, 1, West Jerusalem, Child with disability
C5702500079311, Yousef, yousef547@yahoo.com, 1, 1, West Jerusalem, Lost job due to crisis
C7840116799841, Fatima, fatima475@gmail.com, 1, 1, West Jerusalem, Widowed mother
C6716233770839, Amina, amina666@gmail.com, 1, 1, West Jerusalem, Parent recovering from surgery
C7785191000856, Mohammad, mohammad680@hotmail.com, 1, 1, West Jerusalem, Medical condition in family
C7113977067255, Fatima, fatima273@yahoo.com, 1, 1, West Jerusalem, Low income family
C2073853187644, Hassan, hassan574@yahoo.com, 1, 1, East Jerusalem, Child with disability
C5607472534778, Fadi, fadi149@yahoo.com, 1, 1, East Jerusalem, Unemployed family
C2178194056844, Laila, laila776@yahoo.com, 1, 1, East Jerusalem, Unemployed family
C7145617785659, Laila, laila923@gmail.com, 1, 1, East Jerusalem, Medical condition in family
